回報時間	題目ID	題庫分類	題庫代號	題號	使用者回報	問題類型	查證狀態	查證結果	修正答案	修正解析	官方來源	處理狀態	備註
2026/3/12 上午 9:09:12	底價及價格分析_B008_17	底價及價格分析	B008	17	應該是在比價議價前訂之	待判斷	待查證					待整理	
2026/3/16 下午 2:06:35	最有利標及評選優勝廠商_B003_36	最有利標及評選優勝廠商	B003	36	B答案才正確，AI說明有錯，但新的已修正	待判斷	待查證					待整理	
2026/3/25 下午 4:09:18	財物及勞務採購作業_B002_69	財物及勞務採購作業	B002	69	解釋有誤，應原封發還	待判斷	待查證					待整理	
2026/3/31 上午 8:25:34	政府採購法之總則、招標及決標_A012_436	政府採購法之總則、招標及決標	A012	436	"V 答對了
正確答案：A
編號 436依機關委託專業服務廠商評選及計費辦法第18
條規定・採服務成本加公費法者應於契約訂明廠商應記錄
費用並提出憑證正確•[第222條]
本解析由 AI輔助生成・內容僅供參考、請以最新採購法條文為準。

應該是依機關委託專業服務廠商評選及計費辦法第15條規定"	待判斷	待查證					待整理	
2026/3/31 上午 8:28:01	財物及勞務採購作業_B002_23	財物及勞務採購作業	B002	23	"Ai回答資料較舊 
相關計畫已更名"	待判斷	待查證					待整理	
2026/4/1 下午 8:54:39	政府採購法之爭議處理_B009_29	政府採購法之爭議處理	B009	29	解釋內容錯誤	待判斷	待查證					待整理	
2026/4/4 下午 8:46:56	道德規範及違法處置_B010_2	道德規範及違法處置	B010	2	這題正確答案應該是B	待判斷	待查證					待整理	
2026/4/7 上午 7:45:01	工程及技術服務採購作業_B001_25	工程及技術服務採購作業	B001	25	A	答案疑義	待查證					待整理	
2026/4/11 下午 5:20:33	政府採購法之爭議處理_B009_11	政府採購法之爭議處理	B009	11	選項A	待判斷	待查證					待整理	
2026/4/21 下午 6:59:19	財物及勞務採購作業_B002_25	財物及勞務採購作業	B002	25	A	答案疑義	待查證					待整理	
2026/4/21 下午 7:23:37	財物及勞務採購作業_B002_49	財物及勞務採購作業	B002	49	C	答案疑義	待查證					待整理	
2026/4/28 下午 12:25:29	政府採購法之總則、招標及決標_B012_78	政府採購法之總則、招標及決標	B012	78	依據共同投標辦法第7條第2款	待判斷	待查證					待整理	
2026/5/4 下午 5:03:20	政府採購法之爭議處理_B009_11	政府採購法之爭議處理	B009	11	回覆為「審體審查前須先繳納審議費，選項3錯誤[採購法施行細則第108]」，但應為 採購申訴審議規則第十條，審查應先程序，後實體	待判斷	待查證					待整理	
2026/5/4 下午 5:49:02	政府採購法之爭議處理_B009_43	政府採購法之爭議處理	B009	43	應該是退回 1/2，也就是 50 萬	待判斷	待查證					待整理	
2026/5/7 上午 9:20:25	道德規範及違法處置_B010_3	道德規範及違法處置	B010	3	答案應該是D	待判斷	待查證					待整理	
2026/5/14 下午 1:03:15	政府採購法之爭議處理_B009_29	政府採購法之爭議處理	B009	29	答案待確認	待判斷	待查證					待整理	
2026/5/18 下午 10:39:27	採購契約_B007_15	採購契約	B007	15	契約範本為+-3%	待判斷	待查證					待整理	
2026/5/22 上午 7:13:03	最有利標及評選優勝廠商_B003_62	最有利標及評選優勝廠商	B003	62	答案跟問題查詢的結果不一樣	待判斷	待查證					待整理	
2026/5/22 上午 7:27:12	最有利標及評選優勝廠商_B003_23	最有利標及評選優勝廠商	B003	23	答案跟查詢問題的結果不一樣	待判斷	待查證					待整理	
2026/5/23 上午 10:12:34	最有利標及評選優勝廠商_B003_14	最有利標及評選優勝廠商	B003	14	是採購審議第三條	待判斷	待查證					待整理	
