解析/法條疑義	已查證	使用者回報正確；答案 B 正確，但原解析寫成「開標前定」錯誤，應為依政府採購法施行細則第54條第4項，採政府採購法第49條公開取得3家以上書面報價或企劃書者，其底價應於進行比價或議價前定之。	B	編號 17：依政府採購法第49條公開取得3家以上廠商之書面報價或企劃書者，其底價應於進行比價或議價前定之，非於開標前定之，故選項B為錯誤。	政府採購法施行細則第54條第4項；工程會/法規資料	確認要修	答案不用改，修解析。
解析/法條疑義	已查證	使用者回報大致正確；答案 B 正確，但原解析錯稱「價格不納入評分不得再考量價格」。依最有利標評選辦法第12條，價格不納入評分時仍應綜合考量總評分及價格。	B	編號 36：依最有利標評選辦法第12條規定，採總評分法評定最有利標者，價格不納入評分時，應綜合考量廠商之總評分及價格，以整體表現經機關首長或評選委員會過半數決定最優者為最有利標。選項B未列入價格之綜合考量，故為錯誤選項。	行政院公共工程委員會：最有利標評選辦法第12條 https://www.pcc.gov.tw/content/index?eid=2864&type=C	確認要修	答案不用改，修解析與條號。
解析錯誤	已查證	使用者回報正確；答案 B 正確，但原解析完全相反。依政府採購法施行細則第44條，辦理一次投標分段開標，其已投標未開標之部分，應原封發還。	B	編號 69：依政府採購法施行細則第44條規定，機關辦理一次投標分段開標，其已投標未開標之部分，應原封發還。選項B稱不得發還，故為錯誤選項。	政府採購法施行細則第44條	確認要修	答案不用改，解析需改正。
解析/法條條號錯誤	已查證	使用者回報正確；本題答案 A 正確，但解析引用條號誤植，應為第15條，不是第18條。	A	編號 436：依機關委託專業服務廠商評選及計費辦法第15條規定，機關採服務成本加公費法者，應於契約訂明廠商應記錄各項費用並提出憑證，機關並得至廠商處所辦理查核，故本題正確。	行政院公共工程委員會：機關委託專業服務廠商評選及計費辦法第15條 https://www.pcc.gov.tw/content/index?eid=2832&type=C	確認要修	答案不用改，修解析條號。
法規名稱/條號過舊	已查證	使用者回報正確；答案 A 正確，但原解析使用舊法規名稱與條號。現行法規為文化藝術採購辦法，委員人數5人以上規定在第6條。	A	編號 23：依文化藝術採購辦法第6條規定，機關辦理藝文採購，以成立評選委員會方式辦理者，委員人數應為5人以上，其中專家學者人數不得少於三分之一，且與採購標的相關之文化藝術領域專家學者人數不得少於二人。	文化部主管法規：文化藝術採購辦法第6條 https://law.moc.gov.tw/LawContent.aspx?id=GL001296	確認要修	答案不用改，修法規名稱與條號。
解析錯誤	已查證	答案 D 正確；原解析錯稱申訴審議判斷不視同訴願決定。依政府採購法第83條，審議判斷視同訴願決定；選項D「以寄出申訴書之日為準」才是錯誤。	D	編號 29：依政府採購法第76條，申訴應於收受異議處理結果或處理期限屆滿之次日起15日內，以書面向採購申訴審議委員會提出；誤向非管轄機關申訴者，以該機關收受之日視為提起申訴之日。另依政府採購法第83條，申訴審議判斷視同訴願決定。選項D稱以申訴廠商寄出申訴書之日為準，故為錯誤。	政府採購法第76條、第83條	確認要修	答案不用改，修解析。
答案疑義	已查證	使用者回報不成立；表弟屬四親等旁系血親，非政府採購法第15條第2項所列配偶、二親等以內親屬或共同生活家屬範圍，亦非第15條第4項禁止投標情形。答案 C 可維持。	C	編號 2：政府採購法第15條第2項之迴避範圍為採購人員之本人、配偶、二親等以內親屬或共同生活家屬利益；第4項則規定廠商或其負責人與機關首長有前述情形者，不得參與該機關採購。表弟為四親等旁系血親，不屬前述範圍，故甲廠商得參與投標，A機關首長依本題事實無須依第15條迴避。	政府採購法第15條	不修正	可考慮補強解析，避免使用者誤會。
答案疑義	已查證	使用者回報不成立；依工程採購契約範本，契約價金以總價決標且以契約總價給付時，個別項目實作數量較契約所定數量增減逾3%者，其逾3%部分依原契約單價以契約變更增減。1,200較1,000增加20%，逾3%部分為17%，應按1,170平方公尺計。	C	編號 25：依工程採購契約範本，採契約價金總額結算給付者，工程個別項目實作數量較契約所定數量增減逾3%時，其逾3%之部分，依原契約單價以契約變更增減契約價金。本題實作1,200平方公尺較契約1,000平方公尺增加20%，逾3%部分為17%，故應給付1,170平方公尺之價金。	工程採購契約範本第3條	確認要修	答案不用改；原解析「減28㎡」應改為「扣除3%即30㎡」。
解析/法條疑義	已查證	使用者回報正確；答案 C 正確，但原解析引用採購法施行細則第108條不恰當。選項C錯在顛倒程序審查與實體審查，依據應為採購申訴審議規則第10條。	C	編號 11：依採購申訴審議規則第10條規定，申訴事件應先為程序審查，其無不受理之情形者，再進而為實體審查。選項C稱應先實體審查再程序審查，故為錯誤。	行政院公共工程委員會：採購申訴審議規則第10條 https://www.pcc.gov.tw/content/index?eid=2874&type=C	確認要修	同題有兩筆回報，可合併處理。
答案疑義	已查證	使用者回報不成立；答案 C 正確。機關採最低標決標，二家以上廠商標價相同且均得為決標對象時，如比減價格次數已達三次限制，依政府採購法施行細則第62條應逕行抽籤決定，不是仍應再比減一次。	C	編號 25：依政府採購法施行細則第62條規定，機關採最低標決標者，二家以上廠商標價相同且均得為決標對象時，其比減價格次數已達政府採購法第53條或第54條規定之三次限制者，逕行抽籤決定之；未達三次限制者，始由該等廠商再行比減價格。選項C稱已達三次仍應再比減一次，故為錯誤。	政府採購法第53條；政府採購法施行細則第62條	確認要修	答案不用改，原解析引用第52條不精準，建議修解析。
